チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,サーブミス,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
埼玉上尾メディックス,佐藤,106,67,11,184,36.4,30.4,8,124,2,5,26,24.0,72.0,,12.0,24.0,12.0,48.0,12.0,47.0,16.0,75.0,1.0
埼玉上尾メディックス,内瀬戸,113,61,12,186,32.8,26.3,11,150,1,3,24,22.0,105.0,,11.0,37.0,11.0,59.0,11.0,68.0,12.0,91.0,3.0
埼玉上尾メディックス,山口,22,24,5,51,47.1,37.3,3,49,1,1,2,9.0,28.0,,4.0,11.0,4.0,19.0,5.0,17.0,8.0,30.0,0.0
埼玉上尾メディックス,山岸,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,0.0
埼玉上尾メディックス,山崎,2,2,1,5,40.0,20.0,12,191,0,3,9,35.0,111.0,,18.0,42.0,28.0,88.0,17.0,69.0,17.0,103.0,7.0
埼玉上尾メディックス,岩澤,0,0,0,0,,,0,68,2,1,7,19.0,35.0,,9.0,16.0,5.0,30.0,10.0,19.0,9.0,38.0,0.0
埼玉上尾メディックス,椎名,18,8,0,26,30.8,30.8,2,20,1,2,2,2.0,13.0,,2.0,3.0,1.0,6.0,0.0,10.0,4.0,14.0,1.0
埼玉上尾メディックス,権田,0,1,0,1,100.0,100.0,1,5,0,0,2,0.0,5.0,,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0
埼玉上尾メディックス,目黒,1,2,0,3,66.7,66.7,0,13,0,0,3,2.0,8.0,,1.0,4.0,1.0,6.0,1.0,4.0,2.0,7.0,0.0
埼玉上尾メディックス,鈴木,2,1,0,3,33.3,33.3,0,5,0,0,2,1.0,4.0,,1.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0
埼玉上尾メディックス,鎌田,0,1,0,1,100.0,100.0,0,50,1,1,6,14.0,18.0,,8.0,8.0,10.0,26.0,6.0,10.0,7.0,23.0,2.0
埼玉上尾メディックス,青柳,30,15,2,47,31.9,27.7,7,122,2,0,7,27.0,70.0,,13.0,15.0,11.0,39.0,14.0,55.0,14.0,83.0,1.0
岡山シーガルズ,中本,22,14,1,37,37.8,35.1,2,41,0,0,1,10.0,19.0,13.0,3.0,4.0,4.0,11.0,7.0,15.0,8.0,30.0,0.0
岡山シーガルズ,付,9,4,1,14,28.6,21.4,3,35,0,1,2,7.0,21.0,7.0,4.0,4.0,0.0,8.0,3.0,17.0,7.0,27.0,0.0
岡山シーガルズ,佐藤,51,32,8,91,35.2,26.4,2,81,2,0,3,17.0,40.0,24.0,5.0,11.0,3.0,19.0,12.0,29.0,21.0,62.0,1.0
岡山シーガルズ,前田,10,3,2,15,20.0,6.7,1,10,0,0,1,1.0,3.0,6.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,9.0,0.0
岡山シーガルズ,及川,27,8,0,35,22.9,22.9,9,86,3,2,3,18.0,41.0,27.0,7.0,15.0,11.0,33.0,11.0,26.0,16.0,53.0,2.0
岡山シーガルズ,吉岡,65,24,2,91,26.4,24.2,3,94,0,1,1,31.0,37.0,26.0,11.0,12.0,13.0,36.0,20.0,25.0,13.0,58.0,1.0
岡山シーガルズ,城戸,0,0,0,0,,,0,1,0,0,0,,,,,,,,,,,,0.0
