No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
1,L,川崎翔太,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,25,12.0,8.0,64.0,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
2,,加藤克貴,1,■,,,,,4,1,1,25.0,1.00,1,0,0,0.0,0,-,1,0,0,0,0.0,6,2.0,1.0,41.7,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
3,,石井和希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
4,,中野竜,3,,■,■,■,,25,12,2,48.0,4.00,9,5,0,55.6,0,-,19,4,3,5,23.7,5,3.0,0.0,60.0,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
5,,佐藤匠,4,■,■,■,■,,11,5,2,45.5,1.25,0,0,0,-,2,0.50,11,0,0,1,2.3,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
6,,浜田翔太,4,■,■,■,■,,4,2,0,50.0,0.50,0,0,0,-,3,0.75,10,0,1,1,0.0,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
7,,笠原啓太,4,■,■,■,■,,14,10,0,71.4,2.50,0,0,0,-,4,1.00,12,0,1,2,2.1,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
8,,筒井匠,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
9,,前田将武,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
10,,川畑貴裕,4,■,■,■,■,,30,17,1,56.7,4.25,1,0,1,0.0,0,-,21,0,3,3,0.0,7,3.0,2.0,57.1,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
13,,小島大輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
14,,森田凌雅,4,□,■,■,■,,27,11,1,40.7,2.75,3,0,0,0.0,1,0.25,10,0,0,1,2.5,39,12.0,14.0,48.7,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
16,,小堀優,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
17,,茂木祐太,1,■,,,,,10,2,2,20.0,2.00,2,0,1,0.0,0,-,2,0,0,1,12.5,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,埼玉アザレア,ヴィアティン三重,工藤晴康,岩川泰巳,3,1,4,Win,99
6,L,米村尊,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
9,,森垣拓真,4,■,■,■,■,,3,2,1,66.7,0.50,0,0,0,-,0,-,21,1,0,7,13.1,0,0.0,0.0,-,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
10,L,外崎航平,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,11.0,2.0,66.7,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
13,,吉田裕亮,4,■,■,■,■,,8,2,0,25.0,0.50,0,0,0,-,0,-,11,0,3,2,-2.3,6,6.0,0.0,100.0,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
22,,鳥原大地,4,■,■,■,■,,36,16,4,44.4,4.00,1,0,1,0.0,1,0.25,15,0,0,2,3.3,38,23.0,8.0,71.1,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
23,,北田陽季,4,■,■,■,■,,13,7,0,53.8,1.75,0,0,0,-,4,1.00,12,0,1,1,0.0,2,1.0,0.0,50.0,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
24,,松岡将希,4,■,■,■,■,,29,10,0,34.5,2.50,2,1,0,50.0,0,-,8,0,2,2,0.0,16,8.0,4.0,62.5,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
73,,島波輝,4,■,■,■,■,,44,21,3,47.7,5.25,17,9,3,52.9,0,-,21,1,0,9,15.5,1,0.0,0.0,0.0,581,2021-02-13,2021,02,13,埼玉県,熊谷市立市民体育館,ヴィアティン三重,埼玉アザレア,亀田吉彦,,1,3,4,Lose,99
1,,酒井駿,4,■,■,■,■,,57,24,6,42.1,6.00,10,3,2,30.0,1,0.25,15,1,1,6,15.0,57,27.0,19.0,64.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
2,,鰐川怜児,4,■,■,■,■,,10,3,2,30.0,0.75,0,0,0,-,3,0.75,12,0,6,3,-6.2,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
3,L,三角尚久,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
4,,渡部勇人,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,1,0.25,12,0,0,1,2.1,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
5,,浅田潮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
6,,松下祐太,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,1.0,50.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
7,,石坂ハスナヌ,4,■,■,■,■,,16,7,0,43.8,1.75,0,0,0,-,3,0.75,14,0,0,2,3.6,2,2.0,0.0,100.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
9,,高瀬太一,4,■,■,■,■,,41,18,4,43.9,4.50,17,5,3,29.4,1,0.25,17,3,7,7,17.6,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
10,,柳生大成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
12,L,山田広大,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,25,11.0,5.0,54.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
13,,福池凌太,4,■,■,■,■,,34,7,3,20.6,1.75,2,0,2,0.0,1,0.25,14,0,3,3,0.0,6,1.0,2.0,33.3,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
14,,高井大輝,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
16,,佐藤利空,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
17,,篠原和政,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,長野GaRons,つくばユナイテッドSunGAIA,篠崎寛,,1,3,4,Lose,100
1,,上場雄也,4,■,■,■,■,,60,24,3,40.0,6.00,17,3,1,17.6,1,0.25,23,1,1,11,15.2,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
2,,浜崎勇矢,4,□,■,■,■,,4,1,1,25.0,0.25,0,0,0,-,1,0.25,15,0,0,2,3.3,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
4,,阿部航平,4,■,■,■,■,,15,4,1,26.7,1.00,0,0,0,-,4,1.00,12,0,0,2,4.2,1,0.0,0.0,0.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
6,,瀧澤陽紀,4,■,■,■,■,,25,7,2,28.0,1.75,3,0,0,0.0,1,0.25,15,0,1,4,5.0,18,6.0,6.0,50.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
8,,曹海倫,4,■,■,■,■,,10,5,0,50.0,1.25,0,0,0,-,3,0.75,18,0,2,2,0.0,1,0.0,0.0,0.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
10,,鎌田敏弥,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,1.0,50.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
11,,濱田英寿,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,2.0,0.0,100.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
12,,土井友登,1,■,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,0.0,0.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
13,L,新垣東麻,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,11.0,2.0,60.0,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
16,,松田康河,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
20,,満生大輝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
22,L,関谷拓巳,1,,,,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
23,,曽田一也,4,■,■,■,■,,22,11,0,50.0,2.75,0,0,0,-,0,-,15,0,2,3,1.7,28,14.0,7.0,62.5,584,2021-02-13,2021,02,13,長野県,須坂市市民体育館,つくばユナイテッドSunGAIA,長野GaRons,五十嵐元,,3,1,4,Win,100
1,,エバデダンジェフリー　宇意,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
2,,松坂洸汰,3,■,■,■,,,9,5,0,55.6,1.67,0,0,0,-,1,0.33,9,2,1,4,30.6,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
4,,柳田百織,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
6,L,小林慎平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,2.0,66.7,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
7,,加藤大雄,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
8,,後藤滉貴,3,■,■,■,,,18,10,1,55.6,3.33,7,4,0,57.1,1,0.33,9,0,4,3,-2.8,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
10,,岡村義郎,3,■,■,■,,,4,2,0,50.0,0.67,0,0,0,-,0,-,7,1,0,2,21.4,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
11,,浅野卓雅,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
13,,兵頭佳樹,2,■,■,,,,10,6,0,60.0,3.00,3,0,0,0.0,1,0.50,6,1,0,1,20.8,5,2.0,1.0,50.0,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
14,,谷平拓海,3,■,■,■,,,24,11,2,45.8,3.67,0,0,0,-,3,1.00,10,1,4,1,2.5,18,13.0,4.0,83.3,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
17,,角大樹,2,,□,■,,,3,2,0,66.7,1.00,1,0,0,0.0,0,-,7,0,1,3,7.1,4,3.0,1.0,87.5,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
18,,長谷山拓,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
19,,尾木将,3,□,□,□,,,1,1,0,100.0,0.33,1,1,0,100.0,0,-,8,0,1,5,12.5,2,2.0,0.0,100.0,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
20,,志波京介,3,■,■,■,,,0,0,0,-,-,0,0,0,-,2,0.67,14,0,0,4,7.1,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,62
1,,西澤岳,3,■,■,■,,,18,4,4,22.2,1.33,3,0,1,0.0,2,0.67,5,0,3,0,-15.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
2,,白川佑樹,3,□,■,■,,,10,4,1,40.0,1.33,4,1,1,25.0,0,-,6,1,2,1,12.5,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
5,,中野将太,2,■,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
6,,浅草大燿,3,□,□,□,,,2,0,1,0.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
8,,加藤遼太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
9,L,玉嶋佑樹,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
11,,澁谷杜斗,3,■,■,■,,,15,5,1,33.3,1.67,0,0,0,-,0,-,6,0,1,1,0.0,18,5.0,4.0,38.9,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
12,L,猪岡恭平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,5.0,3.0,38.2,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
13,,仲村鴻輝,1,■,,,,,3,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
14,,林優作,3,■,■,■,,,4,1,1,25.0,0.33,0,0,0,-,0,-,9,0,0,0,0.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
21,,マシューパロット,3,■,■,■,,,17,6,4,35.3,2.00,7,2,2,28.6,1,0.33,6,0,2,0,-8.3,24,6.0,10.0,45.8,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
22,,奥田晃,3,□,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,4,0,0,0,0.0,0,0.0,0.0,-,585,2021-02-13,2021,02,13,長野県,須坂市市民体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,岩本正吾,白川佑樹,0,3,3,Lose,62
1,,酒井駿,3,■,■,■,,,30,9,3,30.0,3.00,3,1,0,33.3,0,-,9,0,3,0,-8.3,32,15.0,11.0,64.1,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
2,,鰐川怜児,3,■,■,■,,,13,5,1,38.5,1.67,0,0,0,-,1,0.33,11,1,4,2,4.5,1,1.0,0.0,100.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
3,L,三角尚久,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
4,,渡部勇人,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,8,0,0,0,0.0,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
5,,浅田潮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
6,,松下祐太,3,□,□,■,,,5,3,1,60.0,1.00,0,0,0,-,0,-,3,0,0,1,8.3,9,1.0,3.0,27.8,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
7,,石坂ハスナヌ,3,■,■,■,,,11,7,0,63.6,2.33,0,0,0,-,1,0.33,13,1,0,3,13.5,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
9,,高瀬太一,3,■,■,■,,,28,14,4,50.0,4.67,10,5,1,50.0,0,-,9,0,4,3,-2.8,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
10,,柳生大成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
12,L,山田広大,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,8.0,8.0,66.7,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
13,,福池凌太,3,■,■,□,,,9,1,1,11.1,0.33,0,0,0,-,0,-,6,0,1,2,4.2,3,1.0,1.0,50.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
14,,高井大輝,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
16,,佐藤利空,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
17,,篠原和政,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,長野GaRons,富士通カワサキレッドスピリッツ,篠崎寛,,0,3,3,Lose,68
1,,エバデダンジェフリー　宇意,3,■,■,■,,,12,4,0,33.3,1.33,1,0,0,0.0,1,0.33,7,0,1,0,-3.6,1,0.0,1.0,50.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,68
2,,松坂洸汰,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,68
4,,柳田百織,3,■,■,■,,,30,22,3,73.3,7.33,13,9,1,69.2,0,-,11,0,4,2,-4.5,1,0.0,1.0,50.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,68
6,L,小林慎平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,9.0,0.0,75.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,68
7,,加藤大雄,3,■,■,■,,,9,4,0,44.4,1.33,0,0,0,-,1,0.33,13,2,0,3,21.2,1,1.0,0.0,100.0,589,2021-02-14,2021,02,14,長野県,須坂市市民体育館,富士通カワサキレッドスピリッツ,長野GaRons,山本道彦,廣本遥,3,0,3,Win,68
